,Months,0,1,2,3,4,5,6,7
0,1,28.87005924,933.2195675,30.2723429,40.81781673,25.53856936,986.2988505,667.039273,5887.602277
1,2,13.93903058,275.7814182,14.83360852,20.08121696,12.61872112,271.466196,193.470876,1277.862946
2,3,8.99015364,116.1882341,9.697024552,13.17597275,8.315486724,108.4767229,80.90184562,415.535748
3,4,6.534641782,58.38309488,7.135552646,9.728361458,6.166301965,52.45797651,40.69331962,168.0540573
4,5,5.074950319,32.92952313,5.603809074,7.663646302,4.878658093,28.8068487,23.12140697,79.03061327
5,6,4.112049976,20.22729655,4.586684255,6.290254469,4.021722073,17.38652923,14.3733806,41.69759676
6,7,3.4321836,13.28585806,3.863431389,5.311802569,3.410853777,11.30173513,9.585231147,24.12108909
7,8,2.928557767,9.215395466,3.323688712,4.580103014,2.953735287,7.801233624,6.764638213,15.04866707
8,9,2.541908445,6.688392379,2.906153664,4.012832822,2.599080668,5.658597455,5.001779408,9.999196162
9,10,2.236728601,5.043514668,2.574052617,3.560601155,2.316119893,4.278017496,3.844813781,7.006249921
10,11,1.990463596,3.929084304,2.30399081,3.191980016,2.085273346,3.349178874,3.053654068,5.135255995
11,12,1.788109666,3.147674998,2.080377357,2.886019618,1.893489091,2.700819929,2.493371117,3.911211063
12,13,1.619306024,2.583238038,1.892423362,2.628218192,1.731732164,2.233657099,2.084446779,3.078430973
13,14,1.476673683,2.164798639,1.732426598,2.408219036,1.593549893,1.887643494,1.778065438,2.49227928
14,15,1.354819131,1.84741928,1.594742324,2.218428744,1.47421109,1.625098023,1.543176188,2.067310816
15,16,1.353076975,1.835813016,1.577627252,2.194024998,1.463414691,1.531835254,1.349275239,2.066311954
16,17,1.351334819,1.765311705,1.56051218,2.169621253,1.452618291,1.438572486,1.155374291,1.916010086
17,18,1.349592663,1.694810394,1.543397108,2.145217507,1.441821891,1.345309718,1.146831922,1.765708217
18,19,1.347850507,1.624309083,1.526282037,2.120813762,1.431025492,1.252046949,1.138289553,1.615406349
19,20,1.274673497,1.553807772,1.509166965,2.096410016,1.420229092,1.158784181,1.129747184,1.465104481
20,21,1.259749026,1.483306461,1.492051893,2.07200627,1.409432693,1.14747715,1.121204814,1.398631831
21,22,1.244824555,1.41280515,1.474936822,2.047602525,1.398636293,1.136170118,1.112662445,1.332159181
22,23,1.229900085,1.342303839,1.45782175,2.023198779,1.387839893,1.124863087,1.104120076,1.265686531
23,24,1.214975614,1.271802528,1.440706678,1.998795033,1.377043494,1.113556056,1.095577707,1.199213881
24,25,1.200051143,1.201301217,1.423591606,1.974391288,1.366247094,1.102249025,1.087035338,1.132741231
25,26,1.185126672,1.130799906,1.406476535,1.949987542,1.355450695,1.090941993,1.078492969,1.12652251
26,27,1.170202201,1.127226256,1.389361463,1.925583797,1.344654295,1.079634962,1.0699506,1.126737319
27,28,1.15527773,0.989797283,1.372246391,1.901180051,1.333857895,1.068327931,1.061408231,0.933323282
28,29,1.14035326,0.919295972,1.355131319,1.876776305,1.323061496,1.0570209,1.052865862,0.866850632
29,30,1.125428789,0.848794661,1.338016248,1.85237256,1.312265096,1.045713869,1.044323493,0.800377982
